"","V1","V2","V3"
"1051",7087,8068,7096
"1052",8067,8071,1050
"1053",6995,8072,7813
"1054",5126,4980,10597
"1055",8077,943,8079
"1056",8078,7077,7804
"1057",8075,8079,7845
"1058",5548,7136,5551
"1059",10597,4979,2400
"1060",8087,5854,8086
"1061",8088,7209,7548
"1062",7670,8089,822
"1063",8091,6539,5608
"1064",4979,2409,10592
"1065",8097,7644,8095
"1066",8098,1361,8576
"1067",7629,6655,8100
"1068",8101,1069,2003
"1069",1068,8102,8093
"1070",8093,8103,8104
"1071",8105,5695,5603
"1072",7646,8107,8108
"1073",5735,8110,8111
"1074",8482,8481,7004
"1075",7631,6579,8112
"1076",8113,8114,8115
"1077",7001,432,1304
"1078",8576,5745,8116
"1079",11081,6038,875
"1080",8119,8121,8567
"1081",8123,8277,8122
"1082",6038,7767,7764
"1083",8126,8127,6985
"1084",4753,8128,8280
"1085",8132,8128,7003
"1086",3221,3225,3272
"1087",1881,8139,8138
"1088",8136,8137,6939
"1089",6855,6866,6943
"1090",6866,346,8141
"1091",3294,7030,11081
"1092",731,7500,347
"1093",8149,347,1094
"1094",737,1093,7505
"1095",8148,7515,8150
"1096",8152,8201,7078
"1097",1099,6023,1173
"1098",7875,7878,8154
"1099",720,722,1097
"1100",8154,8159,7141
"1101",524,7712,8160
"1102",1224,6036,9746
"1103",8165,1104,8166
"1104",1103,1105,8167
"1105",1104,7143,843
"1106",7706,845,1010
"1107",8170,7370,8169
"1108",7379,8172,7380
"1109",1022,7993,12287
"1110",650,8664,8176
"1111",8177,8178,1113
"1112",8180,7384,651
"1113",1111,693,1121
"1114",8180,7442,8179
"1115",8182,682,7426
"1116",6036,1796,528
"1117",650,7426,8185
"1118",8186,8187,1907
"1119",8170,849,8188
"1120",8191,8183,8190
"1121",1113,8182,8194
"1122",7427,7430,8192
"1123",685,5201,11400
"1124",7324,5200,7325
"1125",8195,7324,7326
"1126",660,626,7327
"1127",1132,6035,1147
"1128",8198,740,7076
"1129",5448,6926,8199
"1130",8200,8201,8203
"1131",8199,8203,383
"1132",5974,1159,1127
"1133",7085,8207,8205
"1134",8206,1137,8209
"1135",1141,8208,911
"1136",8208,8207,8209
"1137",1134,8210,4760
"1138",8209,7080,912
"1139",4762,6924,5413
"1140",1541,5037,1919
"1141",7088,1135,491
"1142",7871,8219,925
"1143",8222,925,7112
"1144",1214,8337,8223
"1145",8224,7048,10358
"1146",8223,958,464
"1147",1829,1127,5971
"1148",8228,10397,10396
"1149",10377,10376,8230
"1150",5985,7040,1429
"1151",5010,1653,7468
"1152",8438,10340,8238
"1153",1169,8238,8629
"1154",1155,6034,1159
"1155",1447,1801,1154
"1156",8239,8243,10338
"1157",8245,8303,8244
"1158",8627,8246,8249
"1159",6033,1154,1132
"1160",8247,8249,8375
"1161",8246,1246,8250
"1162",6032,1372,1355
"1163",1165,6033,5974
"1164",2601,2600,8256
"1165",6032,1163,1794
"1166",8256,14023,8263
"1167",8265,8266,8322
"1168",8446,8405,1280
"1169",2250,8268,1153
"1170",8322,2248,8269
"1171",10512,12217,11071
"1172",1245,10348,8272
"1173",1097,5828,1024
"1174",1405,8275,8276
"1175",8636,8276,8625
"1176",2079,12024,12986
"1177",8126,8279,8280
"1178",8587,8281,8282
"1179",8283,8123,8284
"1180",6029,10964,10429
"1181",8287,8288,7025
"1182",10345,8289,1184
"1183",7927,8290,7928
"1184",1182,953,8291
"1185",2259,8292,1187
"1186",8292,10350,2264
"1187",1185,10353,8291
"1188",5992,10845,6029
"1189",8273,13557,8275
"1190",2500,2490,5928
"1191",2490,6028,2382
"1192",8616,8617,8304
"1193",13386,9276,7269
"1194",8305,5737,1397
"1195",1207,13637,2409
